## GRBname 	 Trig_ID 	 15_150kev 	 Exposure_time 	bestmodel
GRB171027A	783479	7.75E-06	131.1	
GRB171020A	780845	1.16E-06	47.62	
GRB171020A	780845	1.16E-06	47.62	
GRB171011A	778154	1.06E-06	2.804	
GRB171010B	778019	3.92E-07	10.09	
GRB171007A	777215	2.64E-07	83.5	
GRB171004A	776347	2.92E-06	126.4	
GRB171001A	775553	5.71E-07	22.17	
GRB170921A	773509	6.67E-07	34.82	
GRB170912B	772052	2.40E-06	40.32	
GRB170912A	772006	1.11E-06	27.52	
GRB170906C	770981	8.99E-06	76.54	
GRB170906B	770958	 N/A 	 N/A 	
GRB170906A	770957	3.31E-05	167.6	
GRB170903A	770528	2.36E-06	35.7	
GRB170827A	769567	1.60E-06	159.7	
GRB170823A	769177	2.58E-06	87.66	
GRB170822A	768939	6.41E-06	80	
GRB170813A	767563	1.90E-06	86.25	
GRB170810A	767284	4.71E-06	182.1	
GRB170807A	766821	8.43E-07	52.67	
GRB170804A	766194	1.32E-06	76.95	
GRB170803A	766081	1.06E-06	4.836	
GRB170728B	765130	1.65E-06	50.62	
GRB170728A	765008	8.27E-08	1.416	
GRB170724A	764204	1.08E-06	109.2	
GRB170714A	762535	2.87E-06	538.6	
GRB170711A	761622	1.40E-06	46.99	
GRB170710B	86619001	2.38E-06	59.2	
GRB170710A	761119	7.65E-07	36.62	
GRB170705A	760064	9.22E-06	310	
GRB170629A	759159	2.61E-06	40.53	
GRB170626A	758766	8.38E-06	39.27	
GRB170607A	756284	7.63E-06	352	
GRB170604A	755867	5.09E-06	30.5	
GRB170531B	755354	1.92E-06	181.3	
GRB170531A	755343	7.51E-07	39.04	
GRB170526A	754549	1.82E-07	8.788	
GRB170524B	753445006	6.65E-06	49.6	
GRB170524A	754322	3.75E-08	0.12	
GRB170519A	753445	1.12E-06	231.5	
GRB170516A	753110	9.55E-07	51.07	
GRB170428A	750298	2.80E-07	0.3	
GRB170419B	748947	1.93E-06	86.95	
GRB170419A	748898	2.99E-07	8.96	
GRB170405A	745797	3.88E-06	185.8	
GRB170331A	744791	1.07E-06	19.94	
GRB170330A	744773	5.51E-06	151.8	
GRB170325A	34941009	8.58E-08	0.392	
GRB170318B	743086	1.33E-07	1.144	
GRB170318A	743065	3.65E-06	167.9	
GRB170317A	742866	1.43E-06	18.61	
GRB170311A	741965	3.05E-07	10	
GRB170307A	741528	1.32E-06	69.89	
GRB170306A	741220	8.58E-07	26.32	
GRB170208B	737463	6.33E-06	177.5	
GRB170208A	737438	1.54E-06	8.096	
GRB170206B	737125	3.17E-07	15.94	
GRB170205A	736843	3.78E-06	47.82	
GRB170203A	736432	6.18E-07	49.02	
GRB170202A	736407	3.34E-06	76.21	
GRB170131A	736107	 N/A 	 N/A 	
GRB170127B	735331	1.04E-07	0.592	
GRB170127A	735326	5.32E-07	73.76	
GRB170126A	735188	2.95E-06	11.65	
GRB170115A	733103	4.69E-07	49.55	
GRB170113A	732526	7.16E-07	23.54	
GRB170112A	732188	1.28E-08	0.06	
GRB170111A	731887	8.16E-07	38.91	
GRB170101A	729293	6.28E-06	10.14	
GRB161224A	728268	9.72E-07	52.72	
GRB161220A	727610	1.84E-07	7.892	
GRB161219B	727541	1.54E-06	8.912	
GRB161218A	727288	7.12E-06	15.9	
GRB161217A	727167	1.98E-07	15.88	
GRB161214B	726885	2.05E-06	31.25	
GRB161202A	725036	8.68E-06	129.2	
GRB161129A	724438	3.59E-06	44.53	
GRB161117B	722642	6.05E-06	163.9	
GRB161117A	722604	2.10E-05	160.4	
GRB161113A	722063	1.54E-06	58.72	
GRB161108A	721234	1.10E-06	128.7	
GRB161105A	720697	6.16E-06	248.1	
GRB161104A	720568	4.25E-08	0.116	
GRB161022A	718655	7.41E-07	7.68	
GRB161017A	718023	5.37E-06	246.7	
GRB161014A	717500	2.21E-06	27	
GRB161011A	716876	2.30E-07	4.868	
GRB161007A	716127	1.32E-06	243	
GRB161004B	715246	8.88E-06	32.47	
GRB161004A	715084	1.03E-07	1.42	
GRB161001A	714404	6.89E-07	3.32	
GRB160927A	713782	1.40E-07	0.56	
GRB160917A	712505	1.22E-06	15.61	
GRB160912A	711914	3.66E-06	244.2	
GRB160905A	711084	1.55E-05	112	
GRB160827A	710050	3.90E-07	19.84	
GRB160826A	709907	4.85E-07	57.76	
GRB160824A	709765	2.52E-06	112.2	
GRB160821B	709357	1.15E-07	0.536	
GRB160821A	709351	7.21E-06	117.8	
GRB160819A	86022006	7.75E-06	47	
GRB160815A	708598	1.46E-06	11.6	
GRB160804A	707231	1.13E-05	222	
GRB160801A	706871	1.74E-07	3.172	
GRB160726A	706052	2.72E-07	0.784	
GRB160716A	704572	1.82E-07	7.16	
GRB160714A	704310	6.87E-08	0.372	
GRB160712A	704155	2.61E-06	54.06	
GRB160709A	703769	4.55E-07	4.8	
GRB160705B	703176	7.26E-07	69.62	
GRB160703A	702699	8.97E-06	79.73	
GRB160630A	702252	1.26E-06	36.3	
GRB160625A	701503	3.31E-06	62.45	
GRB160624A	701288	4.29E-08	0.256	
GRB160623A	  N/A 	 N/A 	 N/A 	
GRB160612A	31791037	9.60E-08	0.184	
GRB160611A	690598	1.78E-06	44.9	
GRB160607A	689597	2.08E-05	58.63	
GRB160601A	688452	6.47E-08	0.144	
GRB160525B	687522	3.14E-08	0.316	
GRB160525A	687492	1.90E-07	64	
GRB160519A	686818	1.17E-06	42.14	
GRB160506A	685245	1.53E-06	345.1	
GRB160504A	685124	7.76E-07	58.59	
GRB160501A	684679	6.12E-07	64	
GRB160425A	684098	2.01E-06	320.3	
GRB160424A	683906	1.25E-06	8.16	
GRB160419A	683383	3.76E-06	13.82	
GRB160417A	683076	5.96E-07	16.02	
GRB160412A	682522	1.94E-06	44.48	
GRB160411A	682339	7.82E-08	0.392	
GRB160410A	682269	1.15E-06	128	
GRB160409A	682162	 N/A 	 N/A 	
GRB160408A	682059	1.60E-07	0.356	
GRB160327A	680655	1.36E-06	49.22	
GRB160325A	680436	7.10E-06	111.1	
GRB160321A	680017	5.37E-07	39.98	
GRB160314A	679120	2.75E-07	9.348	
GRB160313A	678929	5.97E-07	50.26	
GRB160303A	677495	1.48E-07	5.408	
GRB160228A	676595	1.93E-06	119.6	
GRB160227A	676423	3.34E-06	336.4	
GRB160225A	675998	1.58E-06	164.4	
GRB160223A	675361	5.25E-06	188	
GRB160220B	674734	7.06E-06	45.06	
GRB160220A	674670	5.13E-07	9.088	
GRB160216A	673978	2.06E-06	12	
GRB160203A	672525	9.93E-07	19.7	
GRB160131A	672236	2.01E-05	774.5	
GRB160127A	671828	3.64E-07	7.14	
GRB160123A	671447	3.51E-07	5.048	
GRB160121A	671231	6.13E-07	15	
GRB160119A	671014	6.90E-06	167.6	
GRB160117B	670800	3.38E-07	14.45	
GRB160117A	670793	3.18E-06	173	
GRB160104A	669319	4.06E-07	18.96	
GRB151229A	668689	5.85E-07	2.456	
GRB151228B	668641	2.44E-06	64	
GRB151228A	668543	8.34E-08	0.312	
GRB151215A	667392	3.08E-07	18.59	
GRB151210A	666931	1.48E-06	110	
GRB151205B	666378	8.02E-08	1.536	
GRB151205A	666352	1.44E-06	80	
GRB151127A	665268	2.33E-08	0.204	
GRB151122A	664653	4.55E-07	10.05	
GRB151118A	664078	4.72E-07	30.8	
