## GRBname 	 Trig_ID 	 Exposure_time 	 15_150kev
GRB090429B	350854	6.94	3.29E-07
GRB090429A	350853	217	0.00000109
GRB090418B	90078001	89	0.0000165
GRB090418A	349510	69.41	0.00000466
GRB090417B	349450	309.4	0.00000218
GRB090401B	348152	326.3	0.0000107
GRB090401A	348128	177	0.0000112
GRB090309A	345945	3	0.000000137
GRB090308A	345777	28.76	0.000000221
GRB090307A	345551	24	0.000000267
GRB090306B	31369001	26	0.00000324
GRB090305A	345127	0.624	9.08E-08
GRB090301A	344582	90.14	0.0000241
GRB090107A	339295	12.59	0.00000023
GRB081226A	338177	0.504	9.11E-08
GRB081211B	90053089	70.4	0.000000434
GRB081211A	337115	3.832	0.00000013
GRB081203B	336489000	113.2	0.00000278
GRB081203A	336489	474	0.00000783
GRB081028A	332851	367.7	0.00000395
GRB081016B	331856	2.976	0.000000108
GRB080916B	324907	38.33	0.000000638
GRB080916A	324895	91.04	4.22E-06
GRB080915A	324744	29.39	0.000000291
GRB080905B	323898	150.4	0.00000181
GRB080905A	323870	1.088	0.000000141
GRB080727C	318170	113.5	5.30E-06
GRB080727B	318101	9.74	0.0000032
GRB080727A	318094	5.328	0.000000134
GRB080702B	315630003	18.29	0.000000519
GRB080702A	315710	0.576	0.000000038
GRB080613B	313954	135.1	0.00000572
GRB080603B	313087	68.37	2.46E-06
GRB080413B	309111	12	0.00000336
GRB080319D	306793	29.49	0.000000323
GRB080319C	306778	43.75	0.00000351
GRB080319B	306757	248	0.0000855
GRB080319A	306754	49.38	0.00000445
GRB080229A	304379	96	0.0000091
GRB080218B	303631	7.424	0.000000617
GRB080218A	303609	25.1	0.000000619
GRB071028A	295527	29.64	0.0000003
GRB071010B	293795	59.57	0.00000462
GRB071010A	293707	7.02	0.000000202
GRB070920B	291728	27.47	6.95E-07
GRB070920A	291614	59.64	0.000000515
GRB070810B	287409	0.084	1.64E-08
GRB070724A	285948	0.488	3.09E-08
GRB070721B	285654	366.6	0.00000356
GRB070721A	285653	3.568	0.000000073
GRB070714B	284856	75.43	0.000000739
GRB070714A	284850	3	0.000000155
GRB070612B	282073	24	0.00000182
GRB070612A	282066	422.6	0.0000108
GRB070520B	279898	112	0.00000107
GRB070429B	277582	0.536	6.52E-08
GRB070429A	277571	194	0.000000936
GRB070419B	276212	324.1	0.00000744
GRB070419A	276205	192	0.000000667
GRB061222B	252593	49.78	0.00000227
GRB061222A	252588	216	0.00000851
GRB061110B	238174	149.2	0.00000135
GRB061110A	238108	53.68	0.00000113
GRB060923C	230711	79.79	0.00000157
GRB060923B	230702	9.956	0.00000049
GRB060912A	229185	6.676	0.00000136
GRB060904B	228006	214.2	0.00000171
GRB060904A	227996	133.6	0.00000783
GRB060805A	222683	5.744	7.31E-08
GRB060607B	213934	37.85	0.00000165
GRB060607A	213823	125.9	0.00000257
GRB060602A	213180	82.62	0.00000161
GRB060510B	209352	300.4	0.00000398
GRB060502B	208275	0.176	4.92E-08
GRB060502A	208169	44.63	0.00000233
GRB060428B	207399	128	0.000000844
GRB060428A	207364	49.77	0.0000014
GRB060223B	192152	12.52	0.0000016
GRB060223A	192059	12.96	0.000000674
GRB060211B	181156	29.76	0.000000445
GRB060211A	181126	146.4	1.58E-06
GRB060204B	180241	195	2.93E-06
GRB060111B	176918	63.72	0.00000163
GRB060111A	176818	18.23	1.20E-06
GRB051221B	173904	49.58	0.00000098
GRB051221A	173780	2.124	0.00000116
GRB051117A	164268	186.1	0.00000442
GRB051109B	163170	18.96	0.000000265
GRB051109A	163136	44.3	0.00000217
GRB051105A	162580	0.068	1.67E-08
GRB051021B	160672	59.33	8.19E-07
GRB051016A	159913	23	0.000000841
GRB050922C	156467	6.8	0.00000162
GRB050922B	156434	249.2	0.00000237
GRB050915B	155284	66.04	3.40E-06
GRB050820B	151334	15.33	2.05E-06
GRB050820A	151207	261.4	0.00000383
GRB050714B	145994	54.76	0.00000063
GRB050713B	145754	177.4	0.00000435
GRB050713A	145675	190.7	0.00000513
GRB050525A	130088	12.8	1.51E-05
GRB050509B	118749	0.028	7.13E-09
GRB050509A	118707	13.04	0.000000338
GRB050502B	116116	20.49	0.000000472
GRB050416B	114797	4.124	1.11E-06
GRB050416A	114753	9.452	0.000000413
GRB050219B	106442	74.16	1.58E-05
GRB050219A	106415	36.21	4.08E-06
GRB050215B	106107	15.44	0.000000235
GRB050215A	106106	71.39	0.000000639
GRB041219C	100380	12	0.00000114
GRB041219B	100368	28.8	0.00000028
