## GRBname 	 Trig_ID 	 Exposure_time 	 15_150kev
GRB160601A	688452	0.144	6.47E-08
GRB160525B	687522	0.316	3.14E-08
GRB160519A	686818	42.14	0.00000117
GRB160506A	685245	345.1	0.00000153
GRB160504A	685124	58.59	0.000000776
GRB160501A	684679	64	0.000000612
GRB160425A	684098	320.3	0.00000201
GRB160424A	683906	8.16	0.00000125
GRB160419A	683383	13.82	3.68E-06
GRB160417A	683076	16.02	0.000000596
GRB160412A	682522	44.48	0.00000194
GRB160411A	682339	0.392	7.82E-08
GRB160410A	682269	128	0.00000115
GRB160327A	680655	49.22	0.00000136
GRB160325A	680436	111.1	0.0000071
GRB160321A	680017	39.98	0.000000537
GRB160314A	679120	9.348	0.000000275
GRB160303A	677495	5.408	0.000000148
GRB160228A	676595	119.6	0.00000193
GRB160227A	676423	336.4	3.12E-06
GRB160225A	675998	164.4	0.00000158
GRB160223A	675361	188	0.00000525
GRB160220B	674734	45.06	6.96E-06
GRB160220A	674670	9.088	0.000000513
GRB160216A	673978	12	0.00000206
GRB160203A	672525	19.7	0.000000993
GRB160131A	672236	774.5	0.0000201
GRB160127A	671828	7.14	0.000000364
GRB160123A	671447	5.048	0.000000351
GRB160121A	671231	15	0.000000613
GRB160119A	671014	167.6	0.0000069
GRB160117B	670800	14.45	0.000000338
GRB160117A	670793	173	0.00000318
GRB160104A	669319	18.96	0.000000406
GRB151229A	668689	2.456	0.000000585
GRB151228B	668641	64	2.32E-06
GRB151228A	668543	0.312	7.66E-08
GRB151215A	667392	18.59	0.000000308
GRB151210A	666931	110	0.00000148
GRB151205B	666378	1.536	8.02E-08
GRB151205A	666352	80	0.00000144
GRB151127A	665268	0.204	2.33E-08
GRB151122A	664653	10.05	0.000000455
GRB151118A	664078	30.8	0.000000472
GRB151031A	662330	6	0.000000337
GRB151027B	661869	96	0.00000147
GRB151027A	661775	164.1	0.00000729
GRB151023A	661253	13.15	0.000000266
GRB151022A	661036	133.9	0.00000119
GRB151021A	660671	149	0.0000274
GRB151006A	657750	316.1	0.00000722
GRB151004A	657564	148	0.00000101
GRB151001B	657321	158.6	0.00000158
GRB151001A	657286	14.06	0.000000694
GRB150925A	656604	146.1	0.00000137
GRB150915A	655721	176	0.000000738
GRB150911A	655262	10.65	2.07E-06
GRB150910A	655097	151.3	0.00000477
GRB150907B	654803	66	0.00000124
GRB150901A	654042	80	0.000000455
GRB150831B	653978	7.424	0.00000138
GRB150831A	653838	1.052	0.000000362
GRB150821A	652847	156.5	0.000000844
GRB150819A	652643	59.44	0.00000047
GRB150818A	652603	201.3	0.00000426
GRB150817A	652334	75.5	0.00000594
GRB150811A	651882	37.68	0.000000482
GRB150801B	650977	464.1	0.00000295
GRB150728A	650617	0.96	3.26E-08
GRB150724A	650141	326.5	0.00000213
GRB150722A	649916	72.08	0.000000595
GRB150720A	649706	305.5	0.000000775
GRB150716A	649157	51.34	0.00000148
GRB150710A	648437	0.208	7.09E-08
GRB150626B	646786	48	0.00000104
GRB150626A	646603	121.7	0.00000137
GRB150616A	644259	753.9	0.0000196
GRB150615A	643833	39.34	0.000000606
GRB150607A	642620	28.13	2.30E-06
GRB150530B	84922008	3	0.000000173
GRB150530A	642018	8.064	0.00000177
GRB150527A	641698	124	0.00000321
GRB150513A	640584	183.7	0.00000564
GRB150430A	639433	119.6	0.00000673
GRB150428B	639278	161.8	3.57E-06
GRB150428A	639275	77.58	0.00000632
GRB150413A	637899	281	0.00000427
GRB150403A	637044	228.5	0.0000171
GRB150402A	636865000	8.07	0.000000145
GRB150323C	636005	189.8	0.00000133
GRB150323B	635929	10.11	0.00000303
GRB150323A	635887	192.9	0.0000056
GRB150318A	635289	119.5	0.00000245
GRB150317A	635148	24.43	0.000000648
GRB150314A	634795	103.6	0.0000225
GRB150309A	634200	316.4	1.74E-05
GRB150302A	633237	29.38	0.000000257
GRB150301A	632995	0.56	7.36E-08
GRB150222A	632180	28.05	0.00000217
GRB150213B	631051	287	0.00000321
GRB150212A	630876	19.78	0.0000009
GRB150206A	630019	411.9	0.0000148
GRB150204A	84702002	19	0.000000879
GRB150203A	629578	29.53	0.000000936
GRB150202A	629547	28.29	0.000000624
GRB150201A	629302	30.03	0.000000778
GRB150120B	627170	28.18	0.000000534
GRB150120A	627137	1.356	0.000000144
GRB150110B	624606	11.71	0.000000492
GRB150103A	623368	58.62	0.000000953
GRB141225A	622476	124.9	0.00000281
GRB141220A	621915	8.204	2.56E-06
GRB141212B	621234	12.2	0.00000119
GRB141212A	621229	0.336	7.25E-08
GRB141130A	620090	82.76	0.00000277
GRB141121A	619182	552.7	0.00000432
GRB141109B	618032	227.2	0.000000823
GRB141109A	618024	322.6	0.00000666
GRB141031B	617149	17.26	0.000000248
GRB141031A	617110	910.7	0.00000345
GRB141026A	616502	166.9	0.00000129
GRB141020A	615873	18.84	0.000000463
GRB141017A	615672	66.8	2.98E-06
GRB141015A	615399	13	0.000000159
GRB141005A	614415	4.176	0.00000109
GRB141004A	614390	6.188	0.000000668
GRB140927A	613775	8.268	0.000000268
GRB140919A	613160	173.1	0.00000619
GRB140916A	612804	79.97	0.0000015
GRB140907A	611933	144	0.00000451
GRB140901B	611389	4.8	0.000000531
GRB140828A	610953	25.02	1.37E-06
GRB140824A	610501	3.376	0.000000183
GRB140818B	609885	35.26	0.00000065
GRB140817A	609736	318.9	0.0000045
GRB140730A	607742	44.54	0.000000301
GRB140719B	605700	65	0.00000128
GRB140710A	603954	4	0.000000229
GRB140709B	603866	219.2	0.00000433
GRB140709A	603810	131.7	5.42E-06
GRB140706A	603587	58.74	0.00000195
GRB140703A	603243	137.5	0.00000388
GRB140629A	602884	54.85	0.00000229
GRB140628A	602803	12.36	0.00000133
GRB140626A	602604	17.54	0.000000396
GRB140622A	602278	0.152	1.32E-08
GRB140619A	602080	303.7	0.0000212
GRB140614B	601662	58.96	0.000000584
GRB140614A	601646	96.82	0.00000103
GRB140610A	601259	112.4	0.00000592
GRB140606A	600951	0.392	5.12E-08
GRB140529A	91901003	13.09	0.00000226
GRB140521A	599546	11.3	0.000000938
GRB140518A	599287	64.02	1.06E-06
GRB140516A	599188	0.32	3.01E-08
GRB140515A	599037	25.79	6.19E-07
GRB140512A	598819	201	0.000013
GRB140506A	598284	120.4	0.00000266
GRB140502A	597841	19.06	0.000000675
GRB140430A	597722	177.9	0.00000113
GRB140428A	597519	20.02	0.00000034
GRB140423A	596901	239	0.00000937
GRB140419A	596426	134	0.0000157
GRB140414A	84568002	0.532	0.000000124
GRB140413A	595616	164.1	0.0000114
GRB140412A	595608	48	0.000000709
