## GRBname 	 Trig_ID 	 15_150kev(PL) 	 Exposure_time 	bestmodel	 15_150kev(CPL) 	 15_150kev
GRB180407A	823001	1.44E-06	127.7	 PL	0	0.00000144
GRB180404B	821902	1.18E-05	202.2	 PL	0	0.0000118
GRB180404A	821881	1.27E-06	46.63	 PL	0	0.00000127
GRB180331B	820513	1.65E-06	83.81	 PL	0	0.00000165
GRB180331A	820347	6.86E-07	48	 PL	0	0.000000686
GRB180329B	819490	0.00E+00	267.1	 CPL	3.21E-06	3.21206E-06
GRB180329A	819301	3.21E-07	40	 PL	0	0.000000321
GRB180325A	817564	6.39E-06	107.9	 PL	0	0.00000639
GRB180324A	817345	5.64E-07	9.02	 PL	0	0.000000564
GRB180316A	814677	4.92E-06	117	 PL	0	0.00000492
GRB180314B	814305	8.33E-07	63.06	 PL	0	0.000000833
GRB180314A	814129	0.00E+00	121.6	 CPL	1.06E-05	1.06046E-05
GRB180311A	813721	3.33E-07	26.82	 PL	0	0.000000333
GRB180224A	811561	4.67E-07	15.04	 PL	0	0.000000467
GRB180222A	811235	9.05E-07	55.81	 PL	0	0.000000905
GRB180221A	811074	5.70E-07	13	 PL	0	0.00000057
GRB180205A	808625	1.02E-06	17.91	 PL	0	0.00000102
GRB180115A	805318	7.56E-07	43.76	 PL	0	0.000000756
GRB180111A	804692	1.00E-05	69.88	 PL	0	0.00001
GRB180103A	803066	2.19E-06	10.02	 PL	0	0.00000219
GRB180102A	802999	3.48E-07	13.92	 PL	0	0.000000348
GRB171222A	799669	1.88E-06	202.1	 PL	0	0.00000188
GRB171212A	796778	3.34E-06	400	 PL	0	0.00000334
GRB171211A	796469	2.41E-07	2.608	 PL	0	0.000000241
GRB171209A	796100	7.27E-06	299.2	 PL	0	0.00000727
GRB171205A	794972	3.53E-06	240	 PL	0	0.00000353
GRB171123A	791922	4.76E-07	61.68	 PL	0	0.000000476
GRB171120A	791201	0.00E+00	80	 CPL	8.11E-06	8.10737E-06
GRB171115A	790053	6.69E-07	39.71	 PL	0	0.000000669
GRB171103A	785850	3.77E-07	5.04	 PL	0	0.000000377
GRB171102B	785510	9.41E-07	20.78	 PL	0	0.000000941
GRB171027A	783479	7.75E-06	131.1	 PL	0	0.00000775
GRB171027A	783479	7.75E-06	131.1	 PL	0	0.00000775
GRB171020A	780845	1.16E-06	47.62	 PL	0	0.00000116
GRB171020A	780845	1.16E-06	47.62	 PL	0	0.00000116
GRB171011A	778154	1.06E-06	2.804	 PL	0	0.00000106
GRB171010B	778019	3.92E-07	10.09	 PL	0	0.000000392
GRB171004A	776347	2.92E-06	126.4	 PL	0	0.00000292
GRB171001A	775553	5.71E-07	22.17	 PL	0	0.000000571
GRB170921A	773509	6.67E-07	34.82	 PL	0	0.000000667
GRB170912B	772052	2.40E-06	40.32	 PL	0	0.0000024
GRB170912A	772006	1.11E-06	27.52	 PL	0	0.00000111
GRB170906C	770981	0.00E+00	76.54	 CPL	8.79E-06	8.78898E-06
GRB170906A	770957	3.31E-05	167.6	 PL	0	0.0000331
GRB170827A	769567	1.60E-06	159.7	 PL	0	0.0000016
GRB170823A	769177	2.58E-06	87.66	 PL	0	0.00000258
GRB170822A	768939	6.41E-06	80	 PL	0	0.00000641
GRB170813A	767563	1.90E-06	86.25	 PL	0	0.0000019
GRB170810A	767284	4.71E-06	182.1	 PL	0	0.00000471
GRB170807A	766821	8.43E-07	52.67	 PL	0	0.000000843
GRB170804A	766194	1.32E-06	76.95	 PL	0	0.00000132
GRB170803A	766081	0.00E+00	4.836	 CPL	1.03E-06	1.02867E-06
GRB170728B	765130	1.65E-06	50.62	 PL	0	0.00000165
GRB170728A	765008	8.27E-08	1.416	 PL	0	8.27E-08
