##GRBname	bestmodel
GRB050813	 PL
GRB050803	 PL
GRB050802	 PL
GRB050801	 PL
GRB050730	 PL
GRB050726	 PL
GRB050724	 PL
GRB050721	 N/A
GRB050717	 PL
GRB050716	 CPL
GRB050715	 PL
GRB050714B	 PL
GRB050713B	 PL
GRB050713A	 PL
GRB050712	 PL
GRB050701	 PL
GRB050607	 PL
GRB050603	 PL
GRB050528	 PL
GRB050525A	 CPL
GRB050509B	 PL
GRB050509A	 PL
GRB050507	 N/A
GRB050505	 PL
GRB050502B	 PL
GRB050422	 PL
GRB050421	 PL
GRB050418	 CPL
GRB050416B	 CPL
GRB050416A	 PL
GRB050412	 PL
GRB050410	 CPL
GRB050406	 N/A
GRB050401	 PL
GRB050326	 PL
GRB050319	 PL
GRB050318	 CPL
GRB050315	 PL
GRB050306	 CPL
GRB050223	 PL
GRB050219B	 CPL
GRB050219A	 CPL
GRB050215B	 PL
GRB050215A	 PL
GRB050202	 PL
GRB050128	 CPL
GRB050126	 N/A
GRB050124	 CPL
GRB050117	 CPL
GRB041228	 PL
GRB041226	 N/A
GRB041224	 CPL
GRB041223	 PL
GRB041220	 PL
GRB041219C	 PL
GRB041219B	 PL
GRB041219A	 N/A
GRB041217	 CPL
