## GRBname 	 Trig_ID 	 15_150kev 	 Exposure_time 	bestmodel
GRB180204A	808483	4.73E-07	1.344	 N/A
GRB180115A	805318	7.68E-07	43.76	 PL
GRB180113A	804999	4.81E-06	80	 N/A
GRB180111A	804692	1.01E-05	69.88	 PL
GRB180103A	803066	2.21E-06	10.02	 PL
GRB180102A	802999	3.47E-07	13.92	 PL
GRB171222A	799669	1.86E-06	202.1	 PL
GRB171216A	797441	4.30E-07	33.92	 N/A
GRB171212A	796778	3.16E-06	400	 PL
GRB171211A	796469	2.27E-07	2.608	 PL
GRB171209A	796100	7.23E-06	299.2	 PL
GRB171205A	794972	3.51E-06	240	 PL
GRB171123A	791922	4.79E-07	61.68	 PL
GRB171120A	791201	8.11E-06	80	 CPL
GRB171115A	790053	6.76E-07	39.71	 PL
GRB171103A	785850	3.81E-07	5.04	 PL
GRB171102B	785510	8.92E-07	20.78	 PL
GRB171027A	783479	7.66E-06	131.1	 PL
GRB171027A	783479	7.66E-06	131.1	 PL
GRB171020A	780845	1.15E-06	47.62	 PL
GRB171020A	780845	1.15E-06	47.62	 PL
GRB171011A	778154	 N/A 	2.804	 PL
GRB171010B	778019	3.68E-07	10.09	 PL
GRB171007A	777215	2.05E-07	83.5	 N/A
GRB171004A	776347	2.93E-06	126.4	 PL
GRB171001A	775553	5.65E-07	22.17	 PL
GRB170921A	773509	5.75E-07	34.82	 PL
GRB170912B	772052	2.37E-06	40.32	 PL
GRB170912A	772006	1.10E-06	27.52	 PL
GRB170906C	770981	8.79E-06	76.54	 CPL
GRB170906B	770958	 N/A 	 N/A 	 N/A
GRB170906A	770957	3.30E-05	167.6	 PL
GRB170903A	770528	2.37E-06	35.7	 N/A
GRB170827A	769567	1.59E-06	159.7	 PL
GRB170823A	769177	 N/A 	87.66	 PL
GRB170822A	768939	 N/A 	80	 PL
GRB170813A	767563	1.90E-06	86.25	 PL
GRB170810A	767284	4.73E-06	182.1	 PL
GRB170807A	766821	7.75E-07	52.67	 PL
GRB170804A	766194	1.27E-06	76.95	 PL
GRB170803A	766081	1.03E-06	4.836	 CPL
GRB170728B	765130	1.44E-06	50.62	 PL
GRB170728A	765008	 N/A 	1.416	 PL
GRB170724A	764204	1.08E-06	109.2	 PL
GRB170714A	762535	2.81E-06	538.6	 PL
