##GRBname	z	T90	Exposure	fluence	Flux[ph]	Flux[erg]
GRB080411	1.03	56.33	77.55	2.65E-05	40.61	3.04E-06
GRB080319C	1.949	29.55	43.75	3.51E-06	5.09	4.65E-07
GRB080319A	2.027	43.62	49.38	4.45E-06	2.6	1.62E-07
GRB071010B	0.947	36.12	59.57	4.62E-06	7.37	5.03E-07
GRB071003	1.604	148.39	175.2	8.35E-06	6.35	6.35E-07
GRB070508	0.82	20.9	48.74	2.01E-05	24.25	2.24E-06
GRB070420	3.01	77.02	129.4	1.42E-05	7.06	5.62E-07
GRB070328	2.06	72.12	141.1	9.15E-06	4.21	3.84E-07
GRB070306	1.496	209.24	304.1	5.46E-06	4.06	3.03E-07
GRB061222A	2.088	100	216	8.51E-06	7.45	7.33E-07
GRB061021	0.346	47.82	64.97	3.01E-06	6.12	5.44E-07
GRB060927	5.464	22.42	24.74	1.12E-06	2.68	2.46E-07
GRB060912A	0.937	5.03	6.68	1.36E-06	8.54	6.07E-07
GRB060908	1.884	19.3	28.49	2.81E-06	2.98	2.71E-07
GRB060904A	2.55	80.06	133.6	7.83E-06	4.91	4.38E-07
GRB060814	1.923	145.07	230	1.48E-05	7.31	6.06E-07
GRB060614	0.125	109.1	180.6	1.88E-05	11.49	8.37E-07
GRB060418	1.49	109.08	219.1	8.40E-06	6.56	4.99E-07
GRB060306	1.559	60.94	68.27	2.15E-06	5.92	4.70E-07
GRB060206	4.056	7.55	14.26	8.42E-07	2.78	2.01E-07
GRB060117	4.6	16.85	28.26	2.10E-05	48.49	3.68E-06
GRB051109A	2.346	37.2	44.3	2.17E-06	3.88	3.01E-07
GRB050922C	2.2	4.55	6.8	1.62E-06	7.09	5.84E-07
GRB050802	1.71	27.46	33.47	2.21E-06	2.66	2.21E-07
GRB050525A	0.606	8.84	12.8	1.51E-05	43.85	3.48E-06
GRB050416A	0.653	6.67	9.45	4.13E-07	4.86	2.22E-07
GRB050401	2.898	32.09	33.71	8.09E-06	12.17	1.10E-06
GRB050318	1.444	16.12	30.34	1.04E-06	3.13	2.16E-07
GRB050219A	0.212	23.81	36.21	4.08E-06	3.43	3.09E-07
