##GRBname	z	T90	Exposure	fluence	Flux[ph]	Flux[erg]	Epeak
GRB120815A	2.359	7.23	12.21	4.92E-07	2.23	1.41E-07	77.46519376
GRB120811C	2.671	24.34	41.06	2.84E-06	3.96	2.60E-07	107.5666132
GRB120802A	3.796	50.29	63.63	1.64E-06	3.03	2.15E-07	140.260402
GRB120729A	0.8	93.93	144.9	2.51E-06	2.81	1.93E-07	138.9397832
GRB120724A	1.48	77.92	98.63	8.00E-07	0.72	4.38E-08	65.47559115
GRB120722A	0.959	36.32	42.94	1.33E-06	1	7.57E-08	204.6030378
GRB120712A	4.175	14.81	21.1	1.84E-06	2.3	1.99E-07	589.616395
GRB120624B	2.197	179.66	207.9	2.96E-05	5.39	5.11E-07	1143.63386
GRB120422A	0.283	60.35	62.4	3.22E-07	0.57	5.37E-08	991.1642281
GRB120404A	2.876	38.72	45.76	1.58E-06	1.16	7.62E-08	94.04602106
GRB120327A	2.815	63.53	90.36	3.57E-06	3.88	3.28E-07	419.5688929
GRB120326A	1.798	69.48	90.58	2.52E-06	4.74	3.10E-07	91.08999846
GRB120211A	2.4	64.32	73.98	8.62E-07	0.46	3.61E-08	239.6796303
GRB120119A	1.728	68	227	1.70E-05	9.69	8.61E-07	631.4157406
GRB120118B	2.943	20.3	29.4	1.75E-06	2.16	1.38E-07	83.00104743
GRB111229A	1.381	25.37	27.23	3.36E-07	0.97	6.89E-08	143.7348208
GRB111228A	0.716	101.24	128.2	8.27E-06	12.23	8.06E-07	95.15536745
GRB111129A	1.08	8.48	8.98	1.82E-07	0.92	5.01E-08	38.01808384
GRB111123A	3.152	290	490	7.10E-06	0.89	7.33E-08	333.0518027
GRB111107A	2.893	31.07	37.55	9.12E-07	1.24	1.12E-07	682.2868198
GRB111008A	4.99	62.85	71.42	5.20E-06	6.42	5.41E-07	409.2548718
GRB110818A	3.36	102.84	131.6	3.99E-06	1.57	1.41E-07	667.0788978
GRB110808A	1.348	40.7	45.04	3.69E-07	0.58	3.81E-08	91.71403122
GRB110801A	1.858	385.26	409.1	4.56E-06	1.01	6.58E-08	90.16392658
GRB110731A	2.83	40.94	81.33	5.94E-06	10.67	8.91E-07	374.9030551
GRB110715A	0.822	13	24	1.20E-05	52.42	4.24E-06	280.5056985
GRB110503A	1.613	58.7	210.2	1.13E-05	29.63	2.79E-06	975.1373591
GRB110422A	1.77	25.78	47.92	3.83E-05	28.88	2.75E-06	1129.89389
GRB110205A	2.22	249.42	507.4	1.58E-05	3.12	2.54E-07	317.5949041
GRB110128A	2.339	14.15	16.56	5.78E-07	0.76	6.43E-08	434.9180103
GRB110106B	0.618	43.42	53.95	2.05E-06	2.06	1.53E-07	185.1318241
GRB101219B	0.552	41.86	49.15	2.59E-06	1.67	1.15E-07	122.9085301
GRB101213A	0.414	131.12	200	4.99E-06	2.27	1.98E-07	536.18498
GRB100906A	1.727	114.63	130.7	1.19E-05	10.02	7.95E-07	271.8992124
GRB100901A	1.408	436.66	460.8	1.95E-06	0.79	5.19E-08	93.82610744
GRB100814A	1.44	177.26	247.8	8.85E-06	2.47	2.74E-07	7031.548539
GRB100728B	2.106	12.08	14.94	1.67E-06	3.47	2.60E-07	189.2485149
GRB100728A	1.567	193.38	412.6	3.73E-05	5	5.28E-07	3973.135618
GRB100621A	0.542	63.55	210.4	2.06E-05	12.61	9.32E-07	172.2448766
GRB100615A	1.398	38.82	47.45	4.92E-06	5.56	4.01E-07	153.8923287
GRB100513A	4.772	83.5	105	1.43E-06	0.57	4.77E-08	376.715957
GRB100508A	0.52	49.26	59.91	7.50E-07	0.47	4.22E-08	663.9634541
GRB100425A	1.755	38.97	41.49	4.64E-07	1.37	7.34E-08	35.93668092
GRB100316B	1.18	3.84	4.4	1.98E-07	1.34	7.75E-08	51.41656554
GRB100316A	3.155	6.75	7.97	8.22E-07	2.26	1.75E-07	231.1187028
GRB100302A	4.813	17.95	19.65	3.16E-07	0.47	3.79E-08	318.6055116
GRB100219A	4.667	27.57	39.03	4.65E-07	0.4	3.15E-08	252.3369163
GRB100213B	0.604	91.86	117.2	1.22E-06	0.8	5.11E-08	79.41706334
GRB091208B	1.063	14.8	19.5	3.20E-06	14.62	1.11E-06	211.8705706
GRB091109A	3.076	48.03	52.59	1.64E-06	1.23	9.90E-08	304.6599845
GRB090926B	1.24	99.28	152	7.12E-06	3.16	2.71E-07	467.7505962
GRB090809A	2.737	8.87	9.97	3.65E-07	1.08	8.62E-08	288.3831301
GRB090715B	3	266.4	304	5.65E-06	3.75	3.11E-07	358.7712669
GRB090709A	1.8	88.74	168.8	2.53E-05	7.79	7.24E-07	909.5683295
GRB090529A	2.625	70.44	79.88	1.04E-06	0.69	4.91E-08	137.4907164
GRB090429B	9.38	5.58	6.94	3.29E-07	1.63	1.14E-07	128.8534314
GRB090418A	1.608	56.3	69.41	4.66E-06	1.9	1.58E-07	369.2415154
GRB081203A	2.05	223	474	7.83E-06	2.82	2.46E-07	536.362183
GRB081109A	0.979	221.49	380.5	4.00E-06	1.41	1.01E-07	143.9888085
GRB081028A	3.038	284.42	367.7	3.95E-06	0.57	4.09E-08	147.0219763
GRB080916A	0.689	61.35	91.04	4.22E-06	2.62	2.51E-07	1351.637029
GRB080603B	2.689	59.12	68.37	2.46E-06	3.53	3.19E-07	696.011466
GRB080413B	1.101	8	12	3.36E-06	18.13	1.40E-06	233.9622571
GRB080413A	2.433	46.36	50.42	3.52E-06	5.52	4.91E-07	621.6539588
GRB080319C	1.949	29.55	43.75	3.51E-06	5.09	4.65E-07	776.6064229
GRB071010B	0.947	36.12	59.57	4.62E-06	7.37	5.03E-07	117.8299819
GRB070810A	2.17	9.04	12.74	6.72E-07	1.89	1.25E-07	99.53677623
GRB070721B	3.63	336.86	366.6	3.56E-06	1.56	1.57E-07	2014.163028
GRB070612A	0.617	365.28	422.6	1.08E-05	1.37	1.49E-07	6518.284664
GRB070419B	1.959	238.01	324.1	7.44E-06	1.36	1.15E-07	414.5958073
GRB061222B	3.355	37.25	49.78	2.27E-06	1.5	8.64E-08	50.24706398
GRB061222A	2.088	100	216	8.51E-06	7.45	7.33E-07	1602.605181
GRB061110B	3.434	135.25	149.2	1.35E-06	0.46	4.32E-08	935.2237178
GRB061110A	0.758	44.51	53.68	1.13E-06	0.47	2.85E-08	62.91567436
GRB060923B	1.51	8.95	9.96	4.90E-07	1.42	7.38E-08	31.59785136
GRB060923A	2.47	58.49	63.72	9.77E-07	1.37	1.07E-07	236.4003545
GRB060912A	0.937	5.03	6.68	1.36E-06	8.54	6.07E-07	141.7695986
GRB060904A	2.55	80.06	133.6	7.83E-06	4.91	4.38E-07	625.1229832
GRB060607A	3.075	103.03	125.9	2.57E-06	1.4	1.28E-07	748.3077072
GRB060510B	4.941	262.94	300.4	3.98E-06	0.57	4.51E-08	272.8061116
GRB060502A	1.503	28.45	44.63	2.33E-06	1.73	1.67E-07	1286.754613
GRB060223A	4.41	11.32	12.96	6.74E-07	1.35	9.94E-08	170.0205654
GRB051109B	0.08	15.7	18.96	2.65E-07	0.57	3.70E-08	91.65445983
GRB051109A	2.346	37.2	44.3	2.17E-06	3.88	3.01E-07	237.83522
GRB051016B	0.936	4	4.5	1.67E-07	1.29	8.25E-08	81.44774862
GRB050922C	2.2	4.55	6.8	1.62E-06	7.09	5.84E-07	362.2770614
GRB050922B	4.5	157.02	249.2	2.37E-06	1.09	9.03E-08	358.4507962
GRB050915A	2.527	53.42	65.98	8.36E-07	0.76	7.33E-08	1225.065067
GRB050820A	2.615	240.77	261.4	3.83E-06	2.44	2.27E-07	928.7961456
GRB050502B	5.2	17.72	20.49	4.72E-07	1.39	1.06E-07	308.4838766
GRB050416A	0.653	6.67	9.45	4.13E-07	4.86	2.22E-07	17.51047128
GRB050219A	0.212	23.81	36.21	4.08E-06	3.43	3.09E-07	654.3847317
GRB050215B	2.52	11.04	15.44	2.35E-07	0.67	5.06E-08	205.7037476
