z	fluence
5.464	1.12E-06
3.209	2.32E-07
1.51	4.90E-07
2.47	9.77E-07
0.937	1.36E-06
1.884	2.81E-06
3.686	2.29E-06
0.703	1.71E-06
2.55	7.83E-06
1.923	1.48E-05
2.363	7.31E-08
0.543	2.61E-06
1.532	1.53E-06
2.711	2.88E-06
1.92	4.99E-07
3.424	1.58E-06
0.125	1.88E-05
3.075	2.57E-06
3.773	7.11E-07
0.787	1.61E-06
3.221	1.29E-06
5.11	1.13E-06
2.1	2.31E-07
4.941	3.98E-06
1.503	2.33E-06
0.348	8.44E-07
1.49	8.40E-06
1.172	2.65E-07
1.559	2.15E-06
4.41	6.74E-07
3.912	7.68E-06
4.056	8.42E-07
2.339	2.93E-06
0.783	2.22E-06
2.3	4.65E-07
4.6	2.10E-05
6.6	2.39E-06
3.533	1.71E-06
2.32	1.20E-06
2.03	3.72E-07
0.481	1.75E-07
1.549	4.27E-06
0.08	2.65E-07
2.346	2.17E-06
0.936	1.67E-07
1.059	1.35E-06
2.43	1.76E-06
2.2	1.62E-06
4.5	2.37E-06
2.527	8.36E-07
3.347	4.83E-07
6.295	5.21E-06
0.296	4.20E-07
0.828	2.78E-07
1.434	2.51E-06
2.615	3.83E-06
2.504	3.48E-07
5.3	1.91E-06
3.5	2.16E-06
1.71	2.21E-06
1.38	3.09E-07
3.969	2.36E-06
0.165	1.96E-06
2.438	6.30E-07
2.821	8.21E-06
0.606	1.51E-05
4.275	2.49E-06
5.2	4.72E-07
0.653	4.13E-07
2.7	7.77E-08
2.898	8.09E-06
3.243	1.33E-06
1.444	1.04E-06
1.95	3.17E-06
0.584	6.48E-07
0.212	4.08E-06
2.52	2.35E-07
1.29	8.85E-07
