##GRBname	z	T90	Exposure	fluence	Flux[ph]	Flux[erg]
GRB130701A	1.155	4.38	6.49	4.38E-06	17.1	1.44E-06
GRB130612A	2.006	4	4	2.81E-07	1.62	9.67E-08
GRB130610A	2.092	47.72	69.48	2.53E-06	1.72	1.49E-07
GRB130606A	5.913	276.66	298.3	2.76E-06	2.51	2.34E-07
GRB130604A	1.06	76.28	96.21	1.54E-06	0.77	6.30E-08
GRB130514A	3.6	214.19	280.7	9.00E-06	2.93	2.23E-07
GRB130511A	1.303	2.74	2.9	1.74E-07	1.26	9.85E-08
GRB130427B	2.78	25.9	30.11	1.45E-06	3.15	2.51E-07
GRB130427A	0.34	244.33	711.2	3.73E-04	358.63	3.79E-05
GRB130420A	1.297	121.14	203.1	7.59E-06	3.33	2.16E-07
GRB130418A	1.218	274.92	313.1	1.77E-06	0.67	3.35E-08
GRB130408A	3.758	4.24	4.66	1.67E-06	5.12	3.45E-07
GRB130215A	0.597	66.22	79.55	5.40E-06	2.58	1.85E-07
GRB130131B	2.539	4.3	4.65	3.38E-07	0.96	7.76E-08
GRB121229A	2.707	111.46	146.5	8.40E-07	0.43	3.51E-08
GRB121217A	3.1	778.09	801.5	6.17E-06	1.75	1.34E-07
GRB121211A	1.023	182.7	197.1	1.27E-06	1.02	9.84E-08
GRB121209A	2.1	42.92	46.88	2.87E-06	3.38	3.35E-07
GRB121201A	3.385	38	46	7.20E-07	0.8	5.92E-08
GRB121128A	2.2	23.43	41.69	5.83E-06	12.46	1.04E-06
GRB121024A	2.298	67.97	82.37	1.10E-06	1.37	1.25E-07
GRB120923A	7.84	26.08	29.57	3.89E-07	0.63	4.14E-08
GRB120922A	3.1	168.22	238.3	5.52E-06	1.69	1.06E-07
GRB120909A	3.93	220.6	598.2	7.50E-06	1.81	1.69E-07
GRB120907A	0.97	6.08	6.96	5.88E-07	2.86	2.28E-07
GRB120815A	2.359	7.23	12.21	4.92E-07	2.23	1.41E-07
GRB120811C	2.671	24.34	41.06	2.84E-06	3.96	2.60E-07
GRB120802A	3.796	50.29	63.63	1.64E-06	3.03	2.15E-07
GRB120729A	0.8	93.93	144.9	2.51E-06	2.81	1.93E-07
GRB120724A	1.48	77.92	98.63	8.00E-07	0.72	4.38E-08
GRB120722A	0.959	36.32	42.94	1.33E-06	1	7.57E-08
GRB120714B	0.398	157.31	175.4	1.25E-06	0.35	2.23E-08
GRB120712A	4.175	14.81	21.1	1.84E-06	2.3	1.99E-07
GRB120624B	2.197	179.66	207.9	2.96E-05	5.39	5.11E-07
GRB120521C	5.93	27.07	32.9	1.20E-06	1.92	1.66E-07
GRB120422A	0.283	60.35	62.4	3.22E-07	0.57	5.37E-08
GRB120404A	2.876	38.72	45.76	1.58E-06	1.16	7.62E-08
GRB120401A	4.5	130.27	145.7	9.21E-07	0.38	4.21E-08
GRB120327A	2.815	63.53	90.36	3.57E-06	3.88	3.28E-07
GRB120326A	1.798	69.48	90.58	2.52E-06	4.74	3.10E-07
GRB120224A	1.1	7	8	2.16E-07	0.85	4.39E-08
GRB120211A	2.4	64.32	73.98	8.62E-07	0.46	3.61E-08
GRB120119A	1.728	68	227	1.70E-05	9.69	8.61E-07
GRB120118B	2.943	20.3	29.4	1.75E-06	2.16	1.38E-07
GRB111229A	1.381	25.37	27.23	3.36E-07	0.97	6.89E-08
GRB111228A	0.716	101.24	128.2	8.27E-06	12.23	8.06E-07
GRB111225A	0.297	105.73	121.3	1.26E-06	0.65	4.43E-08
GRB111129A	1.08	8.48	8.98	1.82E-07	0.92	5.01E-08
GRB111123A	3.152	290	490	7.10E-06	0.89	7.33E-08
GRB111107A	2.893	31.07	37.55	9.12E-07	1.24	1.12E-07
GRB111008A	4.99	62.85	71.42	5.20E-06	6.42	5.41E-07
GRB111005A	0.013	23.21	28.1	5.75E-07	1.13	7.12E-08
GRB110818A	3.36	102.84	131.6	3.99E-06	1.57	1.41E-07
GRB110808A	1.348	40.7	45.04	3.69E-07	0.58	3.81E-08
GRB110801A	1.858	385.26	409.1	4.56E-06	1.01	6.58E-08
GRB110731A	2.83	40.94	81.33	5.94E-06	10.67	8.91E-07
GRB110726A	1.036	5.16	5.88	2.45E-07	1.01	7.19E-08
GRB110715A	0.822	13	24	1.20E-05	52.42	4.24E-06
GRB110503A	1.613	58.7	210.2	1.13E-05	29.63	2.79E-06
GRB110422A	1.77	25.78	47.92	3.83E-05	28.88	2.75E-06
GRB110213A	1.461	48	64	5.97E-06	1.56	7.15E-08
GRB110205A	2.22	249.42	507.4	1.58E-05	3.12	2.54E-07
GRB110128A	2.339	14.15	16.56	5.78E-07	0.76	6.43E-08
GRB110106B	0.618	43.42	53.95	2.05E-06	2.06	1.53E-07
GRB101219B	0.552	41.86	49.15	2.59E-06	1.67	1.15E-07
