 asd,asd
 -0.596289304750306      ,   1.00000000000000     
 -0.390927874616214      ,  0.964071856287425     
 -0.185566444482122      ,  0.838323353293413     
  1.979498565196991E-002 ,  0.700598802395210     
  0.225156415786062      ,  0.502994011976048     
  0.430517845920154      ,  0.323353293413174     
  0.635879276054246      ,  0.203592814371257     
  0.841240706188338      ,  0.131736526946108     
   1.04660213632243      ,  6.586826347305390E-002
   1.25196356645652      ,  4.790419161676647E-002
   1.45732499659061      ,  2.994011976047904E-002
   1.66268642672471      ,  1.796407185628742E-002
   1.86804785685880      ,  1.796407185628742E-002
   2.07340928699289      ,  1.197604790419162E-002
