## GRBname 	 Trig_ID 	 15_150kev 
GRB170629A   	759159	3.34E-07
GRB170626A   	758766	1.97E-06
GRB170607A   	756284	1.92E-07
GRB170604A   	755867	3.08E-07
GRB170531B   	755354	5.15E-08
GRB170531A   	755343	5.71E-08
GRB170526A   	754549	3.07E-08
GRB170524B   	753445006	7.31E-07
GRB170524A   	754322	4.22E-08
GRB170519A   	753445	5.42E-08
GRB170516A   	753110	6.34E-08
GRB170428A   	750298	2.86E-07
GRB170419B   	748947	2.38E-07
GRB170419A   	748898	9.27E-08
GRB170405A   	745797	 N/A 
GRB170331A   	744791	8.62E-08
GRB170330A   	744773	4.24E-07
GRB170325A   	34941009	9.98E-08
GRB170318B   	743086	1.12E-07
GRB170318A   	743065	1.24E-07
GRB170317A   	742866	2.65E-07
GRB170311A   	741965	5.26E-08
GRB170307A   	741528	9.10E-08
GRB170306A   	741220	5.98E-08
GRB170208B   	737463	7.86E-07
GRB170208A   	737438	5.02E-07
GRB170206B   	737125	4.21E-08
GRB170205A   	736843	3.28E-07
GRB170203A   	736432	5.21E-08
GRB170202A   	736407	4.09E-07
GRB170131A   	736107	 N/A 
GRB170127B   	735331	1.16E-07
GRB170127A   	735326	3.19E-08
GRB170126A   	735188	4.88E-07
GRB170115A   	733103	2.46E-08
GRB170113A   	732526	8.98E-08
GRB170112A   	732188	2.86E-08
GRB170111A   	731887	6.46E-08
GRB170101A   	729293	4.09E-06
GRB161224A   	728268	5.37E-08
GRB161220A   	727610	3.25E-08
GRB161219B   	727541	3.74E-07
GRB161218A   	727288	1.78E-06
GRB161217A   	727167	2.11E-08
GRB161214B   	726885	1.67E-07
GRB161202A   	725036	5.08E-07
GRB161129A   	724438	2.91E-07
GRB161117B   	722642	3.13E-07
GRB161117A   	722604	4.60E-07
GRB161113A   	722063	1.05E-07
GRB161108A   	721234	3.60E-08
GRB161105A   	720697	1.51E-07
GRB161104A   	720568	4.87E-08
GRB161022A   	718655	1.30E-07
GRB161017A   	718023	2.49E-07
GRB161014A   	717500	1.79E-07
GRB161011A   	716876	6.64E-08
GRB161007A   	716127	3.89E-08
GRB161004B   	715246	9.15E-07
GRB161004A   	715084	7.66E-08
GRB161001A   	714404	3.49E-07
GRB160927A   	713782	1.56E-07
GRB160917A   	712505	2.19E-07
GRB160912A   	711914	1.35E-07
GRB160905A   	711084	6.16E-07
GRB160827A   	710050	4.62E-08
GRB160826A   	709907	4.05E-08
GRB160824A   	709765	1.10E-07
GRB160821B   	709357	1.19E-07
GRB160821A   	709351	3.68E-07
GRB160819A   	86022006	9.80E-07
GRB160815A   	708598	3.45E-07
GRB160804A   	707231	2.01E-07
GRB160801A   	706871	7.29E-08
GRB160726A   	706052	2.78E-07
GRB160716A   	704572	4.94E-08
GRB160714A   	704310	9.21E-08
GRB160712A   	704155	2.39E-07
GRB160709A   	703769	2.52E-07
GRB160705B   	703176	2.77E-08
GRB160703A   	702699	4.33E-07
GRB160630A   	702252	1.21E-07
GRB160625A   	701503	1.87E-07
GRB160624A   	701288	5.71E-08
GRB160623A   	  N/A 	 N/A 
GRB160612A   	31791037	1.40E-07
GRB160611A   	690598	1.37E-07
GRB160607A   	689597	1.87E-06
GRB160601A   	688452	8.99E-08
GRB160525B   	687522	6.89E-08
GRB160525A   	687492	 N/A 
GRB160519A   	686818	1.65E-07
GRB160506A   	685245	3.65E-08
