## GRBname 	 Trig_ID 	 15_150kev 
GRB170626A   	758766	1.91E-06
GRB170607A   	756284	1.90E-07
GRB170604A   	755867	3.27E-07
GRB170531B   	755354	5.20E-08
GRB170531A   	755343	5.69E-08
GRB170526A   	754549	3.01E-08
GRB170524B   	753445006	1.61E-07
GRB170524A   	754322	3.86E-08
GRB170519A   	753445	5.44E-08
GRB170516A   	753110	 N/A 
GRB170428A   	750298	2.83E-07
GRB170419B   	748947	2.39E-07
GRB170419A   	748898	 N/A 
GRB170405A   	745797	 N/A 
GRB170331A   	744791	7.52E-08
GRB170330A   	744773	4.18E-07
GRB170325A   	34941009	9.98E-08
GRB170318B   	743086	1.12E-07
GRB170318A   	743065	1.20E-07
GRB170317A   	742866	2.61E-07
GRB170311A   	741965	5.28E-08
GRB170307A   	741528	7.71E-08
GRB170306A   	741220	5.66E-08
GRB170208B   	737463	1.24E-07
GRB170208A   	737438	4.99E-07
GRB170206B   	737125	4.23E-08
GRB170205A   	736843	3.21E-07
GRB170203A   	736432	4.84E-08
GRB170202A   	736407	3.92E-07
GRB170131A   	736107	 N/A 
GRB170127B   	735331	1.05E-07
GRB170127A   	735326	1.17E-08
GRB170126A   	735188	4.81E-07
GRB170115A   	733103	2.35E-08
GRB170113A   	732526	8.69E-08
GRB170112A   	732188	2.66E-08
GRB170111A   	731887	6.05E-08
GRB170101A   	729293	2.37E-06
GRB161224A   	728268	5.25E-08
GRB161220A   	727610	 N/A 
GRB161219B   	727541	3.54E-07
GRB161218A   	727288	1.75E-06
GRB161217A   	727167	 N/A 
GRB161214B   	726885	1.68E-07
GRB161202A   	725036	1.15E-07
GRB161129A   	724438	2.86E-07
GRB161117B   	722642	 N/A 
GRB161117A   	722604	 N/A 
GRB161113A   	722063	1.04E-07
GRB161108A   	721234	3.05E-08
GRB161105A   	720697	1.49E-07
GRB161104A   	720568	4.87E-08
GRB161022A   	718655	1.33E-07
GRB161017A   	718023	2.49E-07
GRB161014A   	717500	1.97E-07
GRB161011A   	716876	5.69E-08
GRB161007A   	716127	3.81E-08
GRB161004B   	715246	1.82E-07
GRB161004A   	715084	4.08E-08
GRB161001A   	714404	3.46E-07
GRB160927A   	713782	6.02E-08
GRB160917A   	712505	2.19E-07
GRB160912A   	711914	4.50E-08
GRB160905A   	711084	6.16E-07
GRB160827A   	710050	3.64E-08
GRB160826A   	709907	3.57E-08
GRB160824A   	709765	1.11E-07
GRB160821B   	709357	1.07E-07
GRB160821A   	709351	3.57E-07
GRB160819A   	86022006	9.65E-07
GRB160815A   	708598	3.40E-07
GRB160804A   	707231	1.94E-07
GRB160801A   	706871	6.25E-08
GRB160726A   	706052	2.75E-07
GRB160716A   	704572	 N/A 
GRB160714A   	704310	2.57E-08
GRB160712A   	704155	2.39E-07
GRB160709A   	703769	2.48E-07
GRB160705B   	703176	2.65E-08
GRB160703A   	702699	4.28E-07
GRB160630A   	702252	1.20E-07
GRB160625A   	701503	 N/A 
GRB160624A   	701288	5.62E-08
GRB160623A   	  N/A 	 N/A 
GRB160612A   	31791037	1.41E-07
GRB160611A   	690598	1.38E-07
GRB160607A   	689597	5.59E-07
GRB160601A   	688452	8.86E-08
GRB160525B   	687522	6.92E-08
GRB160525A   	687492	 N/A 
GRB160519A   	686818	 N/A 
GRB160506A   	685245	1.04E-08
GRB160504A   	685124	5.79E-08
GRB160501A   	684679	 N/A 
GRB160425A   	684098	2.07E-07
GRB160424A   	683906	4.47E-07
GRB160419A   	683383	7.83E-07
GRB160417A   	683076	6.74E-08
GRB160412A   	682522	9.74E-08
GRB160411A   	682339	9.13E-08
GRB160410A   	682269	3.13E-08
GRB160409A   	682162	 N/A 
GRB160408A   	682059	1.99E-07
GRB160327A   	680655	1.20E-07
GRB160325A   	680436	4.67E-07
GRB160321A   	680017	2.17E-08
GRB160314A   	679120	3.83E-08
GRB160313A   	678929	2.50E-08
GRB160303A   	677495	9.49E-08
GRB160228A   	676595	5.73E-10
GRB160227A   	676423	4.88E-08
GRB160225A   	675998	2.46E-08
GRB160223A   	675361	2.67E-07
GRB160220B   	674734	6.09E-07
GRB160220A   	674670	4.41E-08
GRB160216A   	673978	5.92E-07
GRB160203A   	672525	 N/A 
GRB160131A   	672236	5.79E-07
GRB160127A   	671828	7.65E-08
GRB160123A   	671447	9.01E-08
GRB160121A   	671231	7.21E-08
GRB160119A   	671014	2.08E-07
GRB160117B   	670800	 N/A 
GRB160117A   	670793	6.32E-08
GRB160104A   	669319	7.30E-08
GRB151229A   	668689	4.82E-07
GRB151228B   	668641	8.24E-08
GRB151228A   	668543	7.86E-08
GRB151215A   	667392	1.15E-07
GRB151210A   	666931	6.97E-08
GRB151205B   	666378	4.24E-08
GRB151205A   	666352	4.06E-08
GRB151127A   	665268	3.61E-08
GRB151122A   	664653	 N/A 
GRB151118A   	664078	8.23E-08
GRB151114A   	663490	 N/A 
GRB151112A   	663179	 N/A 
GRB151111A   	663074	 N/A 
GRB151107A   	662757	 N/A 
GRB151031A   	662330	9.67E-08
GRB151029A   	662086	9.49E-08
GRB151027B   	661869	1.24E-08
GRB151027A   	661775	5.82E-07
GRB151023A   	661253	 N/A 
GRB151022A   	661036	5.38E-08
GRB151021A   	660671	 N/A 
GRB151006A   	657750	2.03E-07
GRB151004A   	657564	1.86E-08
GRB151001B   	657321	5.15E-08
GRB151001A   	657286	1.09E-07
GRB150925A   	656604	4.67E-08
GRB150915A   	655721	1.04E-08
GRB150911A   	655262	 N/A 
GRB150910A   	655097	4.19E-08
GRB150907B   	654803	9.46E-08
GRB150901A   	654042	5.03E-09
GRB150831B   	653978	3.84E-07
GRB150831A   	653838	3.53E-07
GRB150821A   	652847	 N/A 
GRB150819A   	652643	 N/A 
GRB150818A   	652603	 N/A 
GRB150817A   	652334	9.21E-07
GRB150811A   	651882	 N/A 
GRB150801B   	650977	 N/A 
GRB150728A   	650617	 N/A 
GRB150727A   	650530	9.79E-08
GRB150724A   	650141	6.53E-08
GRB150722A   	649916	2.94E-08
GRB150720A   	649706	 N/A 
GRB150716A   	649157	5.27E-08
GRB150711A   	648601	2.84E-07
GRB150710B   	84694006	1.83E-07
GRB150710A   	648437	7.91E-08
GRB150626B   	646786	2.19E-08
GRB150626A   	646603	1.07E-07
GRB150616A   	644259	2.03E-07
GRB150615A   	643833	3.37E-08
GRB150607A   	642620	3.68E-07
GRB150530B   	84922008	7.68E-08
GRB150530A   	642018	3.48E-07
GRB150527A   	641698	1.94E-07
GRB150513A   	640584	2.32E-07
GRB150430A   	639433	9.08E-08
GRB150428B   	639278	1.13E-07
GRB150428A   	639275	2.36E-07
GRB150424A   	638946	2.67E-08
GRB150423A   	638808	8.17E-08
GRB150413A   	637899	1.21E-07
GRB150407A   	637342	 N/A 
GRB150403A   	637044	1.70E-06
GRB150402A   	636865000	 N/A 
GRB150323C   	636005	5.62E-08
GRB150323B   	635929	 N/A 
GRB150323A   	635887	 N/A 
GRB150318A   	635289	6.04E-08
GRB150317A   	635148	9.80E-08
GRB150314A   	634795	3.81E-06
GRB150309A   	634200	8.43E-07
GRB150302A   	633237	3.11E-08
GRB150301B   	633180	2.37E-07
GRB150301A   	632995	4.59E-08
GRB150222A   	632180	3.59E-07
GRB150213B   	631051	 N/A 
GRB150212A   	630876	5.84E-08
GRB150211A   	630714	9.92E-07
GRB150206A   	630019	8.88E-07
GRB150204A   	84702002	1.31E-07
GRB150203A   	629578	5.83E-08
GRB150202A   	629547	8.86E-08
GRB150201A   	629302	 N/A 
GRB150120B   	627170	 N/A 
GRB150120A   	627137	1.19E-07
GRB150110B   	624606	1.07E-07
GRB150103A   	623368	2.62E-08
GRB150101B   	91964035	5.85E-08
GRB150101A   	623158	1.80E-08
GRB141229A   	85478004	 N/A 
GRB141225A   	622476	1.34E-07
GRB141221A   	622006	2.71E-07
GRB141220A   	621915	8.12E-07
GRB141212B   	621234	3.39E-07
GRB141212A   	621229	8.71E-08
GRB141205A   	620534	9.55E-08
GRB141130A   	620090	8.68E-08
GRB141121A   	619182	5.53E-08
GRB141109B   	618032	1.94E-08
GRB141109A   	618024	2.10E-07
GRB141102A   	617316	 N/A 
GRB141031B   	617149	3.04E-08
GRB141031A   	617110	4.83E-08
GRB141026A   	616502	3.02E-08
GRB141022A   	616061	8.27E-08
GRB141020A   	615873	5.14E-08
GRB141017A   	615672	5.22E-07
GRB141015A   	615399	2.44E-08
GRB141005A   	614415	3.89E-07
GRB141004A   	614390	 N/A 
GRB140930B   	614094	4.30E-07
GRB140927A   	613775	 N/A 
GRB140919A   	613160	9.84E-08
GRB140916A   	612804	8.40E-08
GRB140909A   	612132	 N/A 
GRB140907A   	611933	1.24E-07
GRB140903A   	611599	 N/A 
GRB140901B   	611389	 N/A 
GRB140828A   	610953	1.45E-07
GRB140824A   	610501	6.78E-08
GRB140818B   	609885	7.32E-08
GRB140817A   	609736	6.26E-07
GRB140730A   	607742	3.59E-08
GRB140719B   	605700	6.18E-08
GRB140719A   	605612	6.51E-09
GRB140716A-2 	604793	 N/A 
GRB140716A-1 	604792	4.76E-07
GRB140713A   	604232	1.46E-07
GRB140710A   	603954	9.86E-08
GRB140709B   	603866	5.64E-08
GRB140709A   	603810	2.30E-07
GRB140706A   	603587	7.17E-08
GRB140703A   	603243	2.40E-07
GRB140629A   	602884	 N/A 
GRB140628A   	602803	2.15E-07
GRB140626A   	602604	4.20E-08
GRB140622A   	602278	3.88E-08
GRB140619A   	602080	3.39E-07
GRB140614B   	601662	3.36E-08
GRB140614A   	601646	3.31E-08
GRB140611A   	601292	 N/A 
GRB140610A   	601259	1.10E-07
GRB140607A   	601051	 N/A 
GRB140606A   	600951	5.94E-08
GRB140529A   	91901003	8.06E-07
GRB140521A   	599546	2.01E-07
GRB140518A   	599287	5.98E-08
GRB140516A   	599188	2.95E-08
GRB140515A   	599037	5.35E-08
GRB140512A   	598819	5.05E-07
GRB140509A   	598497	1.15E-07
GRB140506A   	598284	8.67E-07
GRB140502A   	597841	6.62E-08
GRB140430A   	597722	1.85E-07
GRB140428A   	597519	4.27E-08
GRB140423A   	596901	1.84E-07
GRB140419A   	596426	4.12E-07
GRB140414A   	84568002	1.19E-07
GRB140413A   	595616	1.99E-07
GRB140412A   	595608	 N/A 
GRB140408A   	595141	9.89E-08
GRB140402A   	594308	4.57E-08
GRB140331A   	594081	1.79E-08
GRB140323A   	592916	5.88E-07
GRB140320A   	592544	5.16E-08
GRB140318A   	592204	4.89E-08
GRB140311B   	591392	 N/A 
GRB140311A   	591390	6.59E-08
GRB140305A   	590446	6.15E-08
GRB140304A   	590206	1.37E-07
GRB140302A   	589685	1.60E-07
GRB140301A   	589590	3.46E-08
GRB140215A   	586680	7.62E-07
GRB140213A   	586569	1.61E-06
GRB140211A   	586289	 N/A 
GRB140209A   	586071	 N/A 
GRB140206A   	585834	1.69E-06
GRB140129B   	585149	 N/A 
GRB140129A   	585128	6.34E-08
GRB140118A   	584136	1.34E-07
GRB140114A   	583861	 N/A 
GRB140108A   	583338	4.67E-07
GRB140103A   	582773	 N/A 
GRB140102A   	582760	2.73E-06
GRB131229A   	582374	2.53E-08
GRB131227A   	582184	5.60E-08
GRB131226A   	582123	7.86E-07
GRB131224B   	32923023	9.11E-08
GRB131205A   	580267	5.79E-08
GRB131202A   	579982	5.31E-08
GRB131128A   	579683	1.69E-07
GRB131127A   	579571	1.06E-07
GRB131120A   	578227	3.91E-08
GRB131117A   	577968	4.28E-08
GRB131110A   	20326002	8.00E-08
GRB131105A   	576738	 N/A 
GRB131103A   	576562	1.16E-07
GRB131031A   	576277	 N/A 
GRB131030A   	576238	2.65E-06
GRB131024B   	575754	7.55E-08
GRB131024A   	575707	1.20E-08
GRB131018A   	574935	3.00E-08
