 asd,asd
  0.367500011622906      ,  0.000000000000000E+000
  0.502500011026859      ,  0.000000000000000E+000
  0.637500010430813      ,  5.172413793103448E-002
  0.772500009834766      ,  1.724137931034483E-002
  0.907500009238720      ,  5.172413793103448E-002
   1.04250000864267      ,  1.724137931034483E-002
   1.17750000804663      ,  7.758620689655173E-002
   1.31250000745058      ,  6.034482758620690E-002
   1.44750000685453      ,  7.758620689655173E-002
   1.58250000625849      ,  0.137931034482759     
   1.71750000566244      ,  8.620689655172414E-002
   1.85250000506639      ,  0.137931034482759     
   1.98750000447035      ,  8.620689655172414E-002
   2.12250000387430      ,  7.758620689655173E-002
   2.25750000327826      ,  3.448275862068965E-002
   2.39250000268221      ,  6.896551724137931E-002
   2.52750000208616      ,  1.724137931034483E-002
   2.66250000149012      ,  0.000000000000000E+000
   2.79750000089407      ,  0.000000000000000E+000
   2.93250000029802      ,  0.000000000000000E+000
