 asd,asd
  2.509749999753694E-002 ,  8.620689655172414E-003
  7.509249999766326E-002 ,  2.586206896551724E-002
  0.125087499997790      ,  1.724137931034483E-002
  0.175082499997916      ,  6.896551724137931E-002
  0.225077499998042      ,  7.758620689655173E-002
  0.275072499998169      ,  8.620689655172414E-002
  0.325067499998295      ,  5.172413793103448E-002
  0.375062499998421      ,  0.103448275862069     
  0.425057499998547      ,  0.120689655172414     
  0.475052499998674      ,  0.120689655172414     
  0.525047499998800      ,  0.112068965517241     
  0.575042499998926      ,  8.620689655172414E-002
  0.625037499999053      ,  3.448275862068965E-002
  0.675032499999179      ,  5.172413793103448E-002
  0.725027499999305      ,  1.724137931034483E-002
  0.775022499999432      ,  8.620689655172414E-003
  0.825017499999558      ,  8.620689655172414E-003
  0.875012499999684      ,  0.000000000000000E+000
  0.925007499999811      ,  0.000000000000000E+000
  0.975002499999937      ,  0.000000000000000E+000
