 asd,asd
   49.2250000000000      ,  0.000000000000000E+000
   49.6750000000000      ,  8.620689655172414E-003
   50.1250000000000      ,  1.724137931034483E-002
   50.5750000000000      ,  2.586206896551724E-002
   51.0250000000000      ,  8.620689655172414E-002
   51.4750000000000      ,  6.034482758620690E-002
   51.9250000000000      ,  0.163793103448276     
   52.3750000000000      ,  0.310344827586207     
   52.8250000000000      ,  0.232758620689655     
   53.2750000000000      ,  7.758620689655173E-002
   53.7250000000000      ,  8.620689655172414E-003
   54.1750000000000      ,  8.620689655172414E-003
   54.6250000000000      ,  0.000000000000000E+000
   55.0750000000000      ,  0.000000000000000E+000
   55.5250000000000      ,  0.000000000000000E+000
   55.9750000000000      ,  0.000000000000000E+000
   56.4250000000000      ,  0.000000000000000E+000
   56.8750000000000      ,  0.000000000000000E+000
   57.3250000000000      ,  0.000000000000000E+000
   57.7750000000000      ,  0.000000000000000E+000
