 asd,asd
  0.459001248791465      ,   1.00000000000000     
  0.547057082292412      ,  0.655172413793103     
  0.635112915793359      ,  0.543103448275862     
  0.723168749294307      ,  0.465517241379310     
  0.811224582795254      ,  0.370689655172414     
  0.899280416296201      ,  0.310344827586207     
  0.987336249797148      ,  0.250000000000000     
   1.07539208329810      ,  0.206896551724138     
   1.16344791679904      ,  0.172413793103448     
   1.25150375029999      ,  0.146551724137931     
   1.33955958380094      ,  0.120689655172414     
   1.42761541730188      ,  9.482758620689655E-002
   1.51567125080283      ,  8.620689655172414E-002
   1.60372708430378      ,  6.034482758620690E-002
   1.69178291780473      ,  3.448275862068965E-002
   1.77983875130567      ,  3.448275862068965E-002
   1.86789458480662      ,  2.586206896551724E-002
   1.95595041830757      ,  2.586206896551724E-002
   2.04400625180852      ,  2.586206896551724E-002
   2.13206208530946      ,  1.724137931034483E-002
