 asd,asd
   3.12500000000000      ,  0.000000000000000E+000
   3.37500000000000      ,  8.620689655172414E-003
   3.62500000000000      ,  0.000000000000000E+000
   3.87500000000000      ,  0.000000000000000E+000
   4.12500000000000      ,  0.000000000000000E+000
   4.37500000000000      ,  1.724137931034483E-002
   4.62500000000000      ,  0.137931034482759     
   4.87500000000000      ,  0.129310344827586     
   5.12500000000000      ,  0.189655172413793     
   5.37500000000000      ,  0.206896551724138     
   5.62500000000000      ,  0.155172413793103     
   5.87500000000000      ,  0.112068965517241     
   6.12500000000000      ,  3.448275862068965E-002
   6.37500000000000      ,  8.620689655172414E-003
   6.62500000000000      ,  0.000000000000000E+000
   6.87500000000000      ,  0.000000000000000E+000
   7.12500000000000      ,  0.000000000000000E+000
   7.37500000000000      ,  0.000000000000000E+000
   7.62500000000000      ,  0.000000000000000E+000
   7.87500000000000      ,  0.000000000000000E+000
